season,round,player_id,team,opponent_team,element_type,minutes,goals_scored,assists,bps,influence,goals_conceded,ict_index,fdr_attack,fdr_defense,is_home,total_points_roll1,total_points_roll3,total_points_roll5,total_points_roll10,goals_scored_roll1,goals_scored_roll3,goals_scored_roll5,goals_scored_roll10,assists_roll1,assists_roll3,assists_roll5,assists_roll10,minutes_roll1,minutes_roll3,minutes_roll5,minutes_roll10,bps_roll1,bps_roll3,bps_roll5,bps_roll10,influence_roll1,influence_roll3,influence_roll5,influence_roll10,goals_conceded_roll1,goals_conceded_roll3,goals_conceded_roll5,goals_conceded_roll10,goals_scored_roll_team3,goals_scored_roll_team5,goals_scored_roll_team10,goals_conceded_roll_team3,goals_conceded_roll_team5,goals_conceded_roll_team10,target
2021-22,4,572,Arsenal,15,1.0,0,0,0,0,0.0,0,0.0,3.0,3.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
2021-22,5,1,Arsenal,5,1.0,0,0,0,0,0.0,0,0.0,3.0,3.0,1,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,67.5,67.5,0.0,12.333333333333334,12.0,12.0,0.0,22.400000000000002,19.75,19.75,0.0,2.3333333333333335,2.25,2.25,0.0,0.0,0.0,0.0,0.0,0.5,0.0
2021-22,5,2,Arsenal,5,1.0,0,0,0,0,0.0,0,0.0,3.0,3.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,5,532,Arsenal,5,1.0,0,0,0,0,0.0,0,0.0,3.0,3.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,5,559,Arsenal,5,1.0,90,0,0,32,26.4,0,2.6,3.0,3.0,1,6.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,30.0,30.0,30.0,23.0,7.666666666666667,7.666666666666667,7.666666666666667,9.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
2021-22,5,572,Arsenal,5,1.0,0,0,0,0,0.0,0,0.0,3.0,3.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,6,1,Arsenal,17,1.0,0,0,0,0,0.0,0,0.0,3.0,3.0,1,0.0,0.3333333333333333,0.8,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,54.0,54.0,0.0,6.666666666666667,9.6,9.6,0.0,14.333333333333334,15.8,15.8,0.0,1.6666666666666667,1.8,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,6,2,Arsenal,17,1.0,0,0,0,0,0.0,0,0.0,3.0,3.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,6,532,Arsenal,17,1.0,0,0,0,0,0.0,0,0.0,3.0,3.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,6,559,Arsenal,17,1.0,90,0,0,13,19.8,1,2.0,3.0,3.0,1,9.0,5.0,3.75,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,60.0,45.0,45.0,32.0,18.333333333333332,13.75,13.75,26.4,11.799999999999999,8.85,8.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
