goals_scored,season,element_type,assists,team,influence,goals_conceded,clean_sheets,bps,round,expected_goal_involvements,expected_goals,player_id,bonus,opponent_team,minutes,expected_goals_conceded,creativity,threat,expected_assists,total_points,player_name,ict_index,fdr_attack,fdr_defense,is_home
0,2021-22,1.0,0,Spurs,31.8,0,1,28,1,,,353,3,12,90,,0.0,0.0,,10,Hugo Lloris,3.2,3.0,3.0,1
0,2021-22,1.0,0,Leeds,21.6,5,0,17,1,,,199,0,13,90,,0.0,0.0,,1,Illan Meslier,2.2,3.0,3.0,1
0,2021-22,1.0,0,Leeds,0.0,0,0,0,1,,,183,0,13,0,,0.0,0.0,,0,Francisco Casilla Cortés,0.0,3.0,3.0,1
0,2021-22,1.0,0,Brentford,0.0,0,0,0,1,,,94,0,1,0,,0.0,0.0,,0,Patrik Gunnarsson,0.0,3.0,3.0,1
0,2021-22,1.0,0,Brentford,27.8,0,1,30,1,,,80,1,1,90,,0.0,0.0,,8,David Raya Martin,2.8,3.0,3.0,1
0,2021-22,1.0,0,Burnley,30.0,2,0,17,1,,,112,0,4,90,,0.0,0.0,,2,Nick Pope,3.0,3.0,3.0,1
0,2021-22,1.0,0,Leeds,0.0,0,0,0,1,,,490,0,13,0,,0.0,0.0,,0,Kristoffer Klaesson,0.0,3.0,3.0,1
0,2021-22,1.0,0,Burnley,0.0,0,0,0,1,,,117,0,4,0,,0.0,0.0,,0,Bailey Peacock-Farrell,0.0,3.0,3.0,1
0,2021-22,1.0,0,Man Utd,0.0,0,0,0,1,,,509,0,10,0,,0.0,0.0,,0,Tom Heaton,0.0,3.0,3.0,1
0,2021-22,1.0,0,Spurs,0.0,0,0,0,1,,,486,0,12,0,,0.0,0.0,,0,Pierluigi Gollini,0.0,3.0,3.0,1
0,2021-22,1.0,0,Burnley,0.0,0,0,0,1,,,480,0,4,0,,0.0,0.0,,0,Wayne Hennessey,0.0,3.0,3.0,1
0,2021-22,1.0,0,Man Utd,13.2,1,0,16,1,,,270,0,10,90,,0.0,0.0,,2,David de Gea,1.3,3.0,3.0,1
0,2021-22,1.0,0,Wolves,0.0,0,0,0,1,,,444,0,9,0,,0.0,0.0,,0,Andreas Söndergaard,0.0,3.0,3.0,1
0,2021-22,1.0,0,Burnley,0.0,0,0,0,1,,,114,0,4,0,,0.0,0.0,,0,Will Norris,0.0,3.0,3.0,1
0,2021-22,1.0,0,Everton,19.6,1,0,14,1,,,170,0,16,90,,0.0,0.0,,2,Jordan Pickford,2.0,3.0,3.0,1
0,2021-22,1.0,0,Arsenal,11.8,2,0,11,1,,,1,0,3,90,,0.0,0.0,,1,Bernd Leno,1.2,3.0,3.0,1
0,2021-22,1.0,0,Everton,0.0,0,0,0,1,,,181,0,16,0,,0.0,0.0,,0,João Virgínia,0.0,3.0,3.0,1
0,2021-22,1.0,0,Liverpool,0.0,0,0,0,1,,,242,0,15,0,,0.0,0.0,,0,Caoimhin Kelleher,0.0,3.0,3.0,1
0,2021-22,1.0,0,Leicester,0.0,0,0,0,1,,,204,0,20,0,,0.0,0.0,,0,Danny Ward,0.0,3.0,3.0,1
0,2021-22,1.0,0,Leicester,26.0,0,1,31,1,,,200,2,20,90,,0.0,0.0,,9,Kasper Schmeichel,2.6,3.0,3.0,1
0,2021-22,1.0,0,Wolves,0.0,0,0,0,1,,,452,0,9,0,,0.0,0.0,,0,John Ruddy,0.0,3.0,3.0,1
0,2021-22,1.0,0,Brighton,0.0,0,0,0,1,,,65,0,5,0,,0.0,0.0,,0,Mathew Ryan,0.0,3.0,3.0,1
0,2021-22,1.0,0,Liverpool,0.0,0,0,0,2,,,223,0,5,0,,0.0,0.0,,0,Adrián San Miguel del Castillo,0.0,3.0,3.0,1
0,2021-22,1.0,0,Man City,4.2,0,1,19,2,,,257,0,15,90,,0.0,0.0,,6,Ederson Santana de Moraes,0.4,3.0,3.0,1
0,2021-22,1.0,0,Chelsea,0.0,0,0,0,2,,,129,0,1,0,,0.0,0.0,,0,Kepa Arrizabalaga,0.0,3.0,3.0,1
0,2021-22,1.0,0,Arsenal,0.0,0,0,0,2,,,532,0,6,0,,0.0,0.0,,0,Karl Hein,0.0,3.0,3.0,1
0,2021-22,1.0,0,Crystal Palace,0.0,0,0,0,2,,,156,0,3,0,,0.0,0.0,,0,Jack Butland,0.0,3.0,3.0,1
0,2021-22,1.0,0,Everton,0.0,0,0,0,2,,,481,0,10,0,,0.0,0.0,,0,Asmir Begović,0.0,3.0,3.0,1
0,2021-22,1.0,0,Arsenal,0.0,0,0,0,2,,,559,0,6,0,,0.0,0.0,,0,Aaron Ramsdale,0.0,3.0,3.0,1
0,2021-22,1.0,0,Newcastle,1.6,2,0,8,2,,,513,0,2,90,,0.0,0.0,,1,Freddie Woodman,0.2,3.0,3.0,1
0,2021-22,1.0,0,Brighton,12.4,0,1,23,2,,,69,0,18,90,,0.0,0.0,,6,Robert Sánchez,1.2,3.0,3.0,1
