,0
ict_index_avg_10gw,0.38850180797631206
minutes_avg_10gw,0.3853922507043759
total_points_avg_10gw,0.3763681602991633
bps_avg_10gw,0.3736888808561294
minutes_avg_5gw,0.3679034015342753
influence_avg_10gw,0.36572160452751357
ict_index_avg_5gw,0.36010215765547127
minutes_avg_3gw,0.3551245641280294
creativity_avg_10gw,0.35508170508872133
threat_avg_10gw,0.34522120943513407
bps_avg_5gw,0.3432236626450809
total_points_avg_5gw,0.3423242060622128
ict_index_avg_3gw,0.3363535719886024
influence_avg_5gw,0.3299649307494018
creativity_avg_5gw,0.32273201763437886
threat_avg_5gw,0.3188317062803506
bps_avg_3gw,0.315159814426847
total_points_avg_3gw,0.3105536993826304
consistency_10gw,0.30041715706632716
influence_avg_3gw,0.299442219103556
creativity_avg_3gw,0.29854579856906693
goals_conceded_avg_10gw,0.29333406190129113
threat_avg_3gw,0.2927492800513553
clean_sheets_avg_10gw,0.2794014449763542
goals_conceded_avg_5gw,0.26675225913994755
consistency_5gw,0.2633164222225248
goals_scored_avg_10gw,0.25717587567667605
expected_goal_involvements_avg_10gw,0.254956016521301
total_points_roll3,0.25299612857739123
goals_conceded_avg_3gw,0.24159973379121658
expected_assists_avg_10gw,0.24130110043853498
bonus_avg_10gw,0.24012004978956708
expected_goal_involvements_avg_5gw,0.2383237689456195
total_points_roll5,0.23602799424311238
expected_goals_conceded_avg_10gw,0.23583250782484347
clean_sheets_avg_5gw,0.23333638722906647
expected_goals_conceded_avg_5gw,0.22777480785400364
assists_avg_10gw,0.22648200424387355
expected_goals_avg_10gw,0.2227401451162333
total_points_roll10,0.22111281067198307
expected_assists_avg_5gw,0.22061021685582222
expected_goals_conceded_avg_3gw,0.2192037078922425
expected_goal_involvements_avg_3gw,0.21846495981093098
goals_scored_avg_5gw,0.21532098470034283
total_points_std5,0.20655303999107505
minutes_avg_1gw,0.20322137990091058
clean_sheets_avg_3gw,0.20279383237469506
expected_goals_avg_5gw,0.20236373180122713
expected_assists_avg_3gw,0.19972606804639886
total_points_std10,0.19473659171123464
bonus_avg_5gw,0.19470724007288534
assists_avg_5gw,0.18644759689901708
expected_goals_avg_3gw,0.17914720093185166
goals_scored_avg_3gw,0.1767495336167147
ict_index_avg_1gw,0.1760095849433578
expected_goal_involvements_roll3,0.1599916838639059
bps_avg_1gw,0.15969268542037915
assists_avg_3gw,0.15832184518858028
bonus_avg_3gw,0.15782306479490843
creativity_avg_1gw,0.15771872663177294
total_points_avg_1gw,0.15142361885138575
expected_goal_involvements_roll5,0.14991239385264196
expected_assists_roll3,0.14895933841578893
threat_avg_1gw,0.1487804462991774
influence_avg_1gw,0.14521242110212051
expected_assists_roll5,0.1443597736432217
expected_goal_involvements_roll10,0.14189859437091984
expected_assists_roll10,0.1387330046074792
expected_goals_roll3,0.13731340291362903
expected_goals_roll5,0.1318688343999296
start_rate_5,0.12760260964971754
goals_conceded_avg_1gw,0.12699125566650463
expected_goals_roll10,0.12534093518761347
minutes_std10,0.12039194535991865
expected_goals_conceded_avg_1gw,0.11506171710816854
minutes_std5,0.11361751874782146
expected_goals_conceded_roll3,0.11106313620542256
expected_goals_conceded_roll5,0.10736703227872607
expected_goal_involvements_avg_1gw,0.1038701667366807
expected_assists_avg_1gw,0.09771643464449187
expected_goals_conceded_roll10,0.09721366799764355
clean_sheets_avg_1gw,0.09194550572546431
expected_goals_avg_1gw,0.08391742829888144
team_goals_for_team_roll3,0.07961988383657309
team_goals_for_team_roll5,0.07825865075812995
team_attack_strength_5,0.07825865075812995
team_goals_for_team_roll10,0.07546728243243458
assists_avg_1gw,0.07461405772116522
team_clean_sheets_avg_3gw,0.06908107390368945
goals_scored_avg_1gw,0.06895029648208205
bonus_avg_1gw,0.0647667120372274
team_clean_sheets_avg_5gw,0.06422867793680433
team_goals_scored_avg_3gw,0.05548047375956651
xa_diff_5gw,0.05497134396334473
team_goals_scored_avg_5gw,0.05345037853708133
expected_goals_conceded_team_roll3,0.04604101790315049
xa_diff_3gw,0.044341602514109346
opponent_team,0.04426080868323953
team_goals_conceded_avg_5gw,0.03448233882990954
xg_diff_5gw,0.030947993128131405
team_expected_goals_avg_3gw,0.027457536314494997
expected_goals_conceded_team_roll5,0.02364498683555116
team_goals_conceded_avg_3gw,0.020178989694281474
xg_diff_3gw,0.019364784089822236
team_expected_goals_conceded_avg_5gw,0.018215169860869282
team_expected_goals_avg_5gw,0.017496855317987937
fdr_attack,0.01536859529117008
fdr_defense,0.012969285871325436
team_expected_goals_conceded_avg_3gw,0.012314764104354272
expected_goals_conceded_team_roll10,0.009414052282065455
team_goals_against_team_roll3,0.006437122765795683
team_goals_against_team_roll5,0.0058714229041089165
team_defense_strength_5,0.0058714229041089165
team_goals_against_team_roll10,0.0047097010347761465
is_home,
opp_goals_for_team_roll5,
opp_goals_against_team_roll5,
opp_xgc_team_roll5,
attack_matchup_5,
defense_matchup_5,
