,0
minutes_avg_5gw,0.4659618253328085
minutes_avg_10gw,0.46586336247970206
ict_index_avg_10gw,0.4652888807331299
minutes_avg_3gw,0.46512896394452263
total_points_avg_10gw,0.4631051204553709
ict_index_avg_5gw,0.45380773302261185
total_points_avg_5gw,0.4502456956100481
threat_avg_10gw,0.4485901043140079
ict_index_avg_3gw,0.4437591181838003
influence_avg_10gw,0.4426317901954285
bps_avg_10gw,0.438236174324005
threat_avg_5gw,0.43547108923966615
total_points_avg_3gw,0.4325642559261557
threat_avg_3gw,0.42443835848098116
influence_avg_5gw,0.4215687960440567
bps_avg_5gw,0.41929203825415745
creativity_avg_10gw,0.41725152219870104
minutes_avg_1gw,0.41603519548465784
creativity_avg_5gw,0.40158686143096795
consistency_10gw,0.40057929406051157
influence_avg_3gw,0.3983880704902087
bps_avg_3gw,0.39587816842854584
goals_scored_avg_10gw,0.3905207732442276
creativity_avg_3gw,0.38660963729614906
consistency_5gw,0.3838877550097695
goals_conceded_avg_10gw,0.3783137070163525
goals_conceded_avg_5gw,0.36442564988167186
goals_scored_avg_5gw,0.3624349376043307
ict_index_avg_1gw,0.3584879440970666
bonus_avg_10gw,0.35713390079941854
clean_sheets_avg_10gw,0.34894320559984915
goals_conceded_avg_3gw,0.3436564205645742
threat_avg_1gw,0.338845398566362
goals_scored_avg_3gw,0.33633641943980136
bonus_avg_5gw,0.3323216804373448
total_points_avg_1gw,0.3272082234097163
clean_sheets_avg_5gw,0.31468519502349546
bonus_avg_3gw,0.3036005352622178
expected_goal_involvements_avg_10gw,0.29965213985820505
expected_goal_involvements_avg_5gw,0.2985325957854925
expected_goal_involvements_avg_3gw,0.29494108733638036
creativity_avg_1gw,0.2949295212338701
influence_avg_1gw,0.2943438887386402
expected_goals_avg_5gw,0.29294815068704716
clean_sheets_avg_3gw,0.29276367844058193
expected_goals_avg_10gw,0.2925619831445446
bps_avg_1gw,0.2863179225225468
expected_goals_avg_3gw,0.2858255756488151
assists_avg_10gw,0.2842167042357336
expected_goals_conceded_avg_10gw,0.28008245786986447
expected_goals_conceded_avg_5gw,0.2789845417731433
total_points_roll3,0.27718071781687653
expected_goals_conceded_avg_3gw,0.27091280436266013
total_points_roll5,0.26152575232469777
expected_assists_avg_10gw,0.2548117681328757
goals_conceded_avg_1gw,0.2544777620590516
assists_avg_5gw,0.2540925079454319
total_points_roll10,0.242273028075509
expected_assists_avg_5gw,0.24084803442864727
goals_scored_avg_1gw,0.2287435185366775
expected_goal_involvements_avg_1gw,0.22784322210978017
total_points_std5,0.22187205569576773
expected_goals_conceded_avg_1gw,0.22184822764768194
expected_assists_avg_3gw,0.21931665651429177
expected_goals_avg_1gw,0.21794849676179398
assists_avg_3gw,0.21273451751809733
total_points_std10,0.20618826282460082
clean_sheets_avg_1gw,0.18850625160942078
bonus_avg_1gw,0.18831778095186236
expected_goals_roll3,0.1675256293899093
expected_goals_roll5,0.15635039684127666
expected_goal_involvements_roll3,0.15505628223396095
expected_assists_avg_1gw,0.15357574830095455
xa_diff_5gw,0.147891276089747
expected_goals_roll10,0.14463477573485148
expected_goal_involvements_roll5,0.14383774921436315
assists_avg_1gw,0.13680726513159977
expected_goal_involvements_roll10,0.12882373865395566
xa_diff_3gw,0.11527537289321182
team_goals_for_team_roll3,0.09343033490888197
team_attack_strength_5,0.09197118700392021
team_goals_for_team_roll5,0.09197118700392021
team_goals_for_team_roll10,0.08982602862897218
minutes_std10,0.08705760822679409
xg_diff_5gw,0.08688670848990912
minutes_std5,0.0827018179557119
expected_assists_roll5,0.07701604684409788
expected_assists_roll3,0.07561707809171109
expected_assists_roll10,0.0728682760645129
xg_diff_3gw,0.06948618300015454
start_rate_5,0.06598580795096501
team_goals_scored_avg_5gw,0.057303250144109356
team_goals_scored_avg_3gw,0.04453665629017159
team_clean_sheets_avg_5gw,0.04412889903561633
team_expected_goals_avg_5gw,0.040704214215169024
expected_goals_conceded_roll3,0.03896997737080269
opponent_team,0.03843009149839278
expected_goals_conceded_roll5,0.03363238103878892
expected_goals_conceded_team_roll10,0.03194731973161857
team_expected_goals_conceded_avg_3gw,0.0293640829743917
team_expected_goals_conceded_avg_5gw,0.029106605918126544
team_clean_sheets_avg_3gw,0.021422973145299756
expected_goals_conceded_roll10,0.021088962230336787
team_expected_goals_avg_3gw,0.019837340879535304
team_goals_against_team_roll3,0.019160324272219934
fdr_attack,0.018264547909233653
team_goals_against_team_roll5,0.017370377067115094
team_defense_strength_5,0.017370377067115094
team_goals_conceded_avg_5gw,0.01722553291424778
expected_goals_conceded_team_roll5,0.015285934894378725
team_goals_conceded_avg_3gw,0.01521457844819929
team_goals_against_team_roll10,0.015024651578727283
fdr_defense,0.008689071876664338
expected_goals_conceded_team_roll3,0.007507451899458762
is_home,
opp_goals_for_team_roll5,
opp_goals_against_team_roll5,
opp_xgc_team_roll5,
attack_matchup_5,
defense_matchup_5,
