,0
bps_avg_10gw,0.3545318999701895
minutes_avg_10gw,0.3519983085009976
minutes_avg_5gw,0.3456677015015147
bps_avg_5gw,0.3416639768869687
ict_index_avg_10gw,0.3410121989385552
influence_avg_10gw,0.33788705760183085
minutes_avg_3gw,0.33781675472479317
total_points_avg_10gw,0.3343040366583631
bps_avg_3gw,0.326797096252298
ict_index_avg_5gw,0.3255022149512406
influence_avg_5gw,0.3214237255726731
ict_index_avg_3gw,0.3118030089328176
total_points_avg_5gw,0.31149034403570974
influence_avg_3gw,0.30684030657609324
total_points_avg_3gw,0.28586074628648295
consistency_10gw,0.2832625662756274
clean_sheets_avg_10gw,0.27921733080380207
creativity_avg_10gw,0.2612259135098644
threat_avg_10gw,0.26108401769145645
consistency_5gw,0.25954718106746494
clean_sheets_avg_5gw,0.2514677451369222
goals_conceded_avg_10gw,0.24983411904892694
creativity_avg_5gw,0.24908054938550434
total_points_roll3,0.24156186652457923
creativity_avg_3gw,0.237902627054365
threat_avg_5gw,0.23648263285641477
goals_conceded_avg_5gw,0.2310313185674874
clean_sheets_avg_3gw,0.2174877298234101
goals_conceded_avg_3gw,0.21692972581619133
minutes_avg_1gw,0.21362925523392615
threat_avg_3gw,0.21338229606861234
total_points_roll5,0.21105303236239967
bonus_avg_10gw,0.21060221779707586
total_points_std5,0.20316886520174396
bps_avg_1gw,0.19332831604116227
expected_goals_conceded_avg_5gw,0.19111569544980128
expected_goals_conceded_avg_10gw,0.19063392808160617
total_points_std10,0.1859992394332868
expected_goals_conceded_avg_3gw,0.1846883440312552
bonus_avg_5gw,0.1825624401332032
total_points_roll10,0.1821799236805408
ict_index_avg_1gw,0.18072594655151644
expected_goal_involvements_avg_10gw,0.17765811293154
influence_avg_1gw,0.1751926511422191
expected_goal_involvements_avg_5gw,0.17075573465019936
team_clean_sheets_avg_3gw,0.16265961237479018
total_points_avg_1gw,0.16135094716549572
team_clean_sheets_avg_5gw,0.16108453984064083
assists_avg_10gw,0.16048657210753042
bonus_avg_3gw,0.15869182196975617
expected_goal_involvements_avg_3gw,0.15605537030997116
expected_assists_avg_10gw,0.15086374497516428
expected_assists_avg_5gw,0.14297298434405903
creativity_avg_1gw,0.13754093733718414
expected_goals_avg_10gw,0.1374864532146195
assists_avg_5gw,0.13746089711580997
team_goals_conceded_avg_5gw,0.13664676581532426
expected_assists_avg_3gw,0.12961773597925877
expected_goals_avg_5gw,0.1290052061577563
goals_scored_avg_10gw,0.12437121050035428
goals_conceded_avg_1gw,0.12201641857356105
assists_avg_3gw,0.12123390787373058
team_goals_conceded_avg_3gw,0.11701025026220756
expected_goals_avg_3gw,0.11489180501379649
clean_sheets_avg_1gw,0.11469353421295564
threat_avg_1gw,0.1111802434793573
expected_goals_conceded_avg_1gw,0.10931525169183196
goals_scored_avg_5gw,0.10102947215409484
goals_scored_avg_3gw,0.08900462373360436
minutes_std10,0.08872344585040008
bonus_avg_1gw,0.08838816443123944
expected_goal_involvements_avg_1gw,0.08199578857361899
start_rate_5,0.07527234530100996
team_expected_goals_conceded_avg_5gw,0.0713711417343062
expected_assists_avg_1gw,0.07099109163378753
minutes_std5,0.07050532116149118
expected_goals_conceded_roll3,0.06410227487342887
expected_assists_roll3,0.06351146418875417
assists_avg_1gw,0.0634544846214299
team_expected_goals_conceded_avg_3gw,0.06168351368254192
expected_goals_conceded_roll5,0.060510885077089335
expected_assists_roll5,0.060438654020761734
expected_goals_avg_1gw,0.05921567434159832
expected_goal_involvements_roll3,0.05794606209856211
expected_assists_roll10,0.056890913141379895
team_goals_against_team_roll3,0.05683350668703098
expected_goals_conceded_roll10,0.056142651001393366
team_goals_against_team_roll5,0.0542560188962749
team_defense_strength_5,0.0542560188962749
team_goals_for_team_roll3,0.052621923546975806
expected_goal_involvements_roll5,0.05258405054675607
team_attack_strength_5,0.052222775502711094
team_goals_for_team_roll5,0.052222775502711094
team_goals_for_team_roll10,0.05080241011776216
team_goals_against_team_roll10,0.04958317044141141
xa_diff_5gw,0.04719774817728392
expected_goal_involvements_roll10,0.044863960298298054
opponent_team,0.044405004180981776
xa_diff_3gw,0.042792451371107126
goals_scored_avg_1gw,0.040970497298302246
expected_goals_roll3,0.03866610738781961
expected_goals_roll5,0.0335414871584304
fdr_defense,0.0279390314597787
expected_goals_roll10,0.025701348593106906
fdr_attack,0.025484965734496472
expected_goals_conceded_team_roll10,0.019320150235846354
team_goals_scored_avg_3gw,0.013417388374379731
team_expected_goals_avg_3gw,0.012492987945513996
expected_goals_conceded_team_roll3,0.010096220307351633
xg_diff_3gw,0.007237410994556778
team_expected_goals_avg_5gw,0.006101847474870965
expected_goals_conceded_team_roll5,0.005424971039877437
team_goals_scored_avg_5gw,0.004185387792606239
xg_diff_5gw,0.0036335107838070856
is_home,
opp_goals_for_team_roll5,
opp_goals_against_team_roll5,
opp_xgc_team_roll5,
attack_matchup_5,
defense_matchup_5,
